               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11191,             0.05003,            0.028135,           0.0027168,             0.12711,           0.0016541,          0.00047638,             0.10415,            0.034413,            0.026892,              0.0946,              0.0006,              0.0006
                   1,             0.11096,            0.052485,            0.027637,           0.0024044,             0.14437,           0.0017725,          0.00054647,             0.10269,            0.035168,            0.026624,            0.088296,           0.0012957,           0.0012957
                   2,             0.10888,            0.052547,            0.027151,           0.0025217,             0.15141,           0.0018461,          0.00059232,             0.10145,             0.03598,            0.026367,            0.081987,           0.0019868,           0.0019868
                   3,             0.10798,            0.060219,            0.027028,           0.0025943,             0.15493,           0.0019092,          0.00063502,             0.10066,            0.036315,            0.026202,            0.075673,           0.0026733,           0.0026733
                   4,             0.10848,            0.069347,             0.02644,           0.0086207,             0.22254,            0.005437,           0.0010874,            0.099577,            0.036986,            0.025952,            0.069355,           0.0033551,           0.0033551
                   5,             0.10591,            0.062746,            0.026376,           0.0029909,             0.17958,           0.0023798,          0.00070154,            0.098873,            0.037031,            0.025775,            0.063032,           0.0040324,           0.0040324
                   6,             0.10299,            0.062683,            0.026351,           0.0029909,             0.17958,           0.0023358,          0.00070332,            0.097992,            0.037495,            0.025531,            0.056705,            0.004705,            0.004705
                   7,             0.10383,            0.068988,            0.025624,           0.0027586,             0.16901,           0.0021288,          0.00064665,            0.097501,             0.03772,            0.025366,            0.050373,           0.0053729,           0.0053729
                   8,             0.10303,            0.062054,            0.025227,           0.0026437,             0.16197,           0.0019747,          0.00062806,            0.096973,            0.037978,            0.025146,            0.044036,           0.0060363,           0.0060363
                   9,             0.10166,            0.070063,            0.025584,           0.0024713,             0.15141,            0.001871,           0.0005451,            0.096671,             0.03821,            0.024994,            0.037695,           0.0066951,           0.0066951
                  10,             0.10129,            0.071046,            0.025096,            0.003478,             0.21268,           0.0024702,           0.0006833,            0.096446,            0.038301,            0.024823,            0.031349,           0.0073492,           0.0073492
                  11,            0.098057,            0.061657,            0.025083,            0.003566,              0.2162,           0.0025087,          0.00065978,            0.096202,            0.038294,            0.024597,            0.024999,           0.0079987,           0.0079987
                  12,             0.10037,            0.072676,             0.02446,            0.003566,              0.2162,           0.0024596,          0.00065922,            0.096135,            0.038391,            0.024506,            0.018644,           0.0086436,           0.0086436
                  13,             0.10081,            0.076494,            0.024333,           0.0034002,              0.1912,           0.0023279,          0.00061922,            0.096043,            0.038301,            0.024329,            0.012284,           0.0092839,           0.0092839
                  14,            0.099365,            0.065117,            0.024063,           0.0037318,              0.2412,           0.0026039,          0.00071013,            0.095874,             0.03843,            0.024133,            0.009538,            0.009538,            0.009538
                  15,            0.099975,            0.063973,            0.023651,            0.003566,              0.2162,           0.0025645,          0.00071702,            0.095673,            0.038584,            0.023895,            0.009538,            0.009538,            0.009538
                  16,            0.098794,            0.073239,            0.023622,           0.0035572,              0.2162,           0.0028366,          0.00075664,            0.095617,             0.03881,            0.023755,            0.009505,            0.009505,            0.009505
                  17,             0.10056,             0.07218,            0.022808,           0.0035603,              0.2162,           0.0027051,          0.00074349,            0.095609,             0.03921,             0.02348,            0.009472,            0.009472,            0.009472
                  18,            0.097648,            0.066524,            0.022861,           0.0035717,             0.19824,           0.0026851,          0.00068512,            0.095501,            0.039145,            0.023114,            0.009439,            0.009439,            0.009439
                  19,            0.099245,            0.067756,            0.022289,           0.0035577,              0.2162,           0.0025403,          0.00071647,            0.095137,            0.039339,            0.022717,            0.009406,            0.009406,            0.009406
                  20,            0.096081,             0.07087,            0.022402,           0.0034657,             0.21268,           0.0025805,          0.00070997,            0.094966,            0.039442,             0.02254,            0.009373,            0.009373,            0.009373
                  21,            0.096156,            0.063943,            0.022496,           0.0034598,             0.21268,           0.0027433,          0.00073937,             0.09473,            0.039571,            0.022076,             0.00934,             0.00934,             0.00934
                  22,            0.095232,            0.074299,            0.022311,            0.003717,              0.2412,           0.0031532,           0.0008303,            0.094252,            0.039571,            0.021698,            0.009307,            0.009307,            0.009307
                  23,            0.096998,            0.061591,            0.021071,           0.0035322,             0.20176,           0.0036752,          0.00085948,            0.093747,            0.039725,            0.021109,            0.009274,            0.009274,            0.009274
                  24,             0.09848,            0.064131,            0.020458,           0.0038097,             0.21937,           0.0039067,          0.00092586,            0.094151,            0.039397,            0.020929,            0.009241,            0.009241,            0.009241
                  25,             0.09379,            0.063914,            0.019214,           0.0036946,             0.21127,           0.0054128,           0.0013083,            0.093181,            0.039165,            0.019614,            0.009208,            0.009208,            0.009208
                  26,            0.095431,             0.05901,            0.019663,           0.0043654,             0.23275,           0.0054136,           0.0013302,            0.093793,            0.038346,            0.019104,            0.009175,            0.009175,            0.009175
                  27,            0.093173,            0.060668,            0.018854,           0.0084289,            0.035211,            0.005313,           0.0014609,            0.093511,            0.038804,            0.017575,            0.009142,            0.009142,            0.009142
                  28,            0.090758,            0.058872,            0.018662,           0.0079258,            0.049296,           0.0056821,           0.0017635,            0.093662,            0.040228,            0.016769,            0.009109,            0.009109,            0.009109
                  29,            0.091544,            0.060057,            0.018223,             0.53269,            0.056338,            0.015166,           0.0049119,            0.092959,            0.038043,            0.014526,            0.009076,            0.009076,            0.009076
                  30,            0.093302,            0.058354,            0.015011,             0.02942,            0.084507,            0.015549,           0.0043114,            0.093367,             0.03812,            0.013876,            0.009043,            0.009043,            0.009043
                  31,            0.091777,             0.05597,            0.015742,            0.026061,            0.059859,            0.022602,           0.0060486,            0.096853,            0.040976,             0.01398,             0.00901,             0.00901,             0.00901
                  32,            0.091339,            0.059802,            0.014684,            0.016433,            0.042254,           0.0056116,           0.0016054,             0.09911,            0.070735,            0.016843,            0.008977,            0.008977,            0.008977
                  33,            0.090513,            0.056677,            0.017862,           0.0099705,             0.34965,           0.0091187,           0.0027903,             0.09846,            0.046636,            0.016403,            0.008944,            0.008944,            0.008944
                  34,            0.093902,            0.060927,            0.017082,            0.009467,             0.11655,           0.0054183,            0.001913,             0.10437,             0.12758,            0.018661,            0.008911,            0.008911,            0.008911
                  35,            0.087743,            0.061736,             0.01648,           0.0098113,             0.15845,           0.0078054,           0.0025155,            0.096122,              0.1022,            0.015976,            0.008878,            0.008878,            0.008878
                  36,            0.088162,             0.06283,            0.015941,           0.0077853,             0.13028,           0.0067568,           0.0022104,            0.099367,            0.069329,            0.015439,            0.008845,            0.008845,            0.008845
                  37,            0.088342,            0.059154,            0.016591,             0.51996,             0.13732,            0.014802,           0.0044131,            0.097949,            0.046469,            0.014136,            0.008812,            0.008812,            0.008812
                  38,            0.090123,            0.056228,            0.016807,              0.5217,             0.15845,            0.016414,           0.0048953,             0.09257,             0.05298,            0.013336,            0.008779,            0.008779,            0.008779
